Feature ID	Taxon
PV460831.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma balearicum;NA;NA;NA
PX429974.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Arius;Arius maculatus;NA;NA;NA
AP019604.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron diadematus;NA;NA;NA
AP006742.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron firmamentum;NA;NA;NA
AP011930.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus;NA;NA;NA
AP019603.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus;NA;NA;NA
KT600935.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus;NA;NA;NA
LC778713.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus;NA;NA;NA
PZ574373.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus;NA;NA;NA
AP019600.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron immaculatus;NA;NA;NA
PZ315496.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron immaculatus;NA;NA;NA
AP011929.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron manilensis;NA;NA;NA
KT600936.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron manilensis;NA;NA;NA
AP011931.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron mappa;NA;NA;NA
AP019610.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron multilineatus;NA;NA;NA
AP019608.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron reticularis;NA;NA;NA
AP019607.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron stellatus;NA;NA;NA
NC_015787.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Arripidae;Arripis;Arripis trutta;NA;NA;NA
NC_071940.1	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Aseraggodes;Aseraggodes kaianus;NA;NA;NA
NC_024285.1	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Aseraggodes;Aseraggodes kobensis;NA;NA;NA
NC_009058.1	Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Astronotus;Astronotus ocellatus;NA;NA;NA
NC_083172.1	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes evermanni;NA;NA;NA
GQ352661.1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherina;Atherina boyeri;NA;NA;NA
NC_066928.1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis;NA;NA;NA
NC_067733.1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinopsis;Atherinopsis californiensis;NA;NA;NA
JF912038.1	Eukaryota;Chordata;Actinopteri;Semionotiformes;Lepisosteidae;Atractosteus;Atractosteus spatula;NA;NA;NA
NC_035982.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Atrobucca;Atrobucca nibe;NA;NA;NA
NC_026222.1	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Atule;Atule mate;NA;NA;NA
OM749733.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Aulacocephalus;Aulacocephalus temminckii;NA;NA;NA
OP056837.2	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Aulostomidae;Aulostomus;Aulostomus maculatus;NA;NA;NA
NC_015348.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Auriglobus;Auriglobus modestus;NA;NA;NA
KM055368.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei;NA;NA;NA
NC_005313.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei;NA;NA;NA
KP828047.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard;NA;NA;NA
KP342264.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Sisoridae;Bagarius;Bagarius yarrelli;NA;NA;NA
KT983411.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Sisoridae;Bagarius;Bagarius yarrelli;NA;NA;NA
NC_021606.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Sisoridae;Bagarius;Bagarius yarrelli;NA;NA;NA
JX899751.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Bagre;Bagre marinus;NA;NA;NA
MH377768.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Bairdiella;Bairdiella chrysoura;NA;NA;NA
PX519993.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera;Balaenoptera bonaerensis;NA;NA;NA
