Feature ID	Taxon
PV919171.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Lamna;Lamna ditropis;NA;NA;NA
PQ249320.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Isurus;Isurus oxyrinchus;NA;NA;NA
MZ923833.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Isurus;Isurus oxyrinchus;NA;NA;NA
Alopias_1	NA;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias vulpinus;NA;NA;NA
Isurus	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Isurus;Isurus oxyrinchus;NA;NA;NA
MF150045.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Lamna;Lamna nasus;NA;NA;NA
Carcharodon	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Carcharodon;Carcharodon carcharias;NA;NA;NA
EF373300.1	NA;Chordata;Aves;Columbiformes;Columbidae;Ocyphaps;Ocyphaps lophotes;NA;NA;NA
MH248174.1	NA;Chordata;Actinopteri;Anguilliformes;Congridae;Conger;Conger cinereus;NA;NA;NA
NC_023479.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax quinquecarinatus;NA;NA;NA
Cherax	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax quadricarinatus;NA;NA;NA
Cherax_1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax quadricarinatus;NA;NA;NA
MN648457.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax quadricarinatus;NA;NA;NA
OQ915513.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax quadricarinatus;NA;NA;NA
KU821450.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax subterigneus;NA;NA;NA
NC_023482.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax preissii;NA;NA;NA
MN648464.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax cairnsensis;NA;NA;NA
