scientific_name,marker,ncbi_hits,common_name,source
Haliotis australis,12,0,abalone,"FDA The Seafood List, 2023/07/21"
Haliotis corrugata,12,0,abalone,"FDA The Seafood List, 2023/07/21"
Haliotis kamtschatkana,12,0,abalone,"FDA The Seafood List, 2023/07/21"
Haliotis pourtalesii,12,0,abalone,"FDA The Seafood List, 2023/07/21"
Haliotis walallensis,12,0,abalone,"FDA The Seafood List, 2023/07/21"
Haliporoides sibogae,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Haliporoides triarthrus,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Harengula thrissina,12,0,herring,"FDA The Seafood List, 2023/07/21"
Haustellum brandaris,12,0,merex,"FDA The Seafood List, 2023/07/21"
Hemijana variegata,12,0,edible caterpillar,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Heterobranchus longifilis,12,0,sampa,"FDA The Seafood List, 2023/07/21"
Heterobranchus longifilis x Clarias gariepinus,12,0,claresse,"FDA The Seafood List, 2023/07/21"
Heterocarpus laevigatus,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Heterocarpus vicarius,12,0,northern nylon shrimp,"FDA The Seafood List, 2023/07/21"
Hippoglossina stomata,12,0,sole,"FDA The Seafood List, 2023/07/21"
Holothuria mexicana,12,0,sea cucumber,"FDA The Seafood List, 2023/07/21"
Holothuria tubulosa,12,0,sea cucumber,"FDA The Seafood List, 2023/07/21"
Hoplostethus mediterraneus mediterraneus,12,0,silver roughy,"FDA The Seafood List, 2023/07/21"
Hoplunnis diomediana,12,0,pike-conger eel,"FDA The Seafood List, 2023/07/21"
Hoplunnis macrura,12,0,pike-conger eel,"FDA The Seafood List, 2023/07/21"
Huso huso (fem) x Acipenser ruthenus (male),12,0,sturgeon,"FDA The Seafood List, 2023/07/21"
Hyas araneus,12,0,spider crab,"FDA The Seafood List, 2023/07/21"
Hydrolagus novaezealandiae,12,0,chimaera,"FDA The Seafood List, 2023/07/21"
Hyperoglyphe bythites,12,0,driftfish,"FDA The Seafood List, 2023/07/21"
Hyperoglyphe perciformis,12,0,driftfish,"FDA The Seafood List, 2023/07/21"
Hyperoglyphe pringlei,12,0,butterfish,"FDA The Seafood List, 2023/07/21"
Hypoderma tarandi,12,0,caribou warble fly,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Ictalurus punctatus x Ictalurus furcatus,12,0,catfish,"FDA The Seafood List, 2023/07/21"
Ilisha fuerthii,12,0,herring,"FDA The Seafood List, 2023/07/21"
Ilisha megaloptera,12,0,herring,"FDA The Seafood List, 2023/07/21"
Illex illecebrosus,12,0,squid,"FDA The Seafood List, 2023/07/21"
Imbrasia belina,12,0,mopane caterpillar,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Iphigenia brasiliana,12,0,false coquina,"FDA The Seafood List, 2023/07/21"
Isopisthus remifer,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Jacquinotia edwardsii,12,0,spider crab,"FDA The Seafood List, 2023/07/21"
Jasus lalandii,12,0,rock lobster,"FDA The Seafood List, 2023/07/21"
Jasus paulensis,12,0,rock lobster,"FDA The Seafood List, 2023/07/21"
Johnius dussumieri,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Kathetostoma giganteum,12,0,stargazer,"FDA The Seafood List, 2023/07/21"
Kryptopterus limpok,12,0,sheatfish,"FDA The Seafood List, 2023/07/21"
Lasius fuliginosus,12,0,jet ant,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Latridopsis ciliaris,12,0,trumpeter,"FDA The Seafood List, 2023/07/21"
Lepidopsetta billineta,12,0,southern rock sole,NOAA Fisheries
Lepidorhynchus denticulatus,12,0,grenadier,"FDA The Seafood List, 2023/07/21"
Lepidotrigla argus,12,0,searobin,"FDA The Seafood List, 2023/07/21"
Lepophidium brevibarbe,12,0,cusk-eel,"FDA The Seafood List, 2023/07/21"
Lepophidium jeannae,12,0,cusk-eel,"FDA The Seafood List, 2023/07/21"
Lethrinus variegatus,12,0,emperor,"FDA The Seafood List, 2023/07/21"
Leukoma staminea,12,0,littleneck clam,Marty Smith
Lithodes antarcticus,12,0,centolla crab,"FDA The Seafood List, 2023/07/21"
Lithodes couesi,12,0,scarlet crab,"FDA The Seafood List, 2023/07/21"
Lithodes murrayi,12,0,murray crab,"FDA The Seafood List, 2023/07/21"
Litopenaeus occidentalis,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Litopenaeus schmitti,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Loligo gahi,12,0,squid,"FDA The Seafood List, 2023/07/21"
