scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Penaeus setiferus,white shrimp,BP,2,0,FALSE
Pollicipes polymerus,barnacle,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Rhynchophorus phoenicis,african palm weevil,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",2,0,FALSE
Ruditapes decussatus,grooved carpet shell,FAO Cultured Aquatic Species Fact Sheets,2,0,FALSE
Scyllarides squammosus,slipper lobster,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Sepiola rondeletii,squid,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Sepioteuthis australis,squid,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Solen grandis,razor clam,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Solen marginatus,razor clam,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Squilla mantis,mantis shrimp,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Strombus pugilis,conch,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Styela plicata,sea squirt,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Tessaratoma quadrata,stink bug,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",2,0,FALSE
Thelenota ananas,prickly redfish,Australian Fisheries Management Authority,2,0,FALSE
Turbo cornutus,top shell,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Uroteuthis duvauceli,squid,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Venerupis aspera,littleneck clam,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Venerupis decussata,littleneck clam,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Amusium papyraceum,scallop,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Busycotypus canaliculatus,whelk,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Callinectes rathbunae,swimming crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Callinectes toxotes,swimming crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Chionoecetes opilio,snow crab,SJ,1,0,FALSE
Chlamys hastata,scallop,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Chlamys rubida,scallop,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Crangon crangon,shrimp,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Crepidula fornicata,slipperysnail,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Cymbium olla,volute,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Echinus esculentus,sea urchin,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Fenneropenaeus chinensis,chinese white shrimp,SJ,1,0,FALSE
Geothelphusa dehaani,japanese crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Holothuria fuscogilva,white teatfish,Australian Fisheries Management Authority,1,0,FALSE
Holothuria poli,sea cucumber,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Holothuria whitmaei,black teatfish,Australian Fisheries Management Authority,1,0,FALSE
Illex coindetii,squid,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Isostichopus badionotus,sea cucumber,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Jasus frontalis,rock lobster,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Lithodes aequispinus,golden king crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Loligo forbesii,veined squid,SJ,1,0,FALSE
Lolliguncula brevis,squid,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Lopholithodes foraminatus,brown box crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Lottia gigantea,limpet,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Melicertus kerathurus,striped prawn,SJ,1,0,FALSE
Melicertus plebejus,eastern king prawn,SJ,1,0,FALSE
Menippe adina,stone crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Menippe mercenaria,stone crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
