species,marker,list,source_status,n_raw,n_amplicons,amplicon_yield,secs
Nephelium cuspidatum,trnL,plant-candidate,on-list,8,0,FALSE,3
Salsola komarovii,trnL,plant-candidate,on-list,7,0,FALSE,2.4
Allium ledebourianum,trnL,plant-candidate,on-list,6,0,FALSE,2.5
Aloysia triphylla,trnL,plant-candidate,on-list,6,0,FALSE,2.4
Opuntia monacantha,trnL,plant-candidate,on-list,6,0,FALSE,2.4
Opuntia undulata,trnL,plant-candidate,on-list,6,0,FALSE,2.5
Pyropia yezoensis,trnL,plant-candidate,on-list,0,0,FALSE,1.3
Alpinia malaccensis,trnL,plant-candidate,on-list,5,0,FALSE,2.5
Hibiscus sabdariffa,trnL,plant-candidate,on-list,5,0,FALSE,2.5
Beta vulgaris subsp. vulgaris,trnL,plant-candidate,on-list,3,0,FALSE,2.6
Dimocarpus fumatus,trnL,plant-candidate,on-list,4,0,FALSE,2.5
Mangifera kemanga,trnL,plant-candidate,on-list,4,0,FALSE,2.4
Undaria pinnatifida,trnL,plant-candidate,on-list,2,0,FALSE,2.4
Amomum subulatum,trnL,plant-candidate,on-list,3,0,FALSE,2.5
Annona atemoya,trnL,plant-candidate,on-list,3,0,FALSE,2.6
Argyranthemum frutescens,trnL,plant-candidate,on-list,3,0,FALSE,2.6
Carica x heilbornii,trnL,plant-candidate,on-list,3,0,FALSE,2.6
Diospyros discolor,trnL,plant-candidate,on-list,3,0,FALSE,2.4
Glebionis segetum,trnL,plant-candidate,on-list,3,0,FALSE,2.5
Ocotea quixos,trnL,plant-candidate,on-list,3,0,FALSE,2.9
Scorzonera hispanica,trnL,plant-candidate,on-list,3,0,FALSE,2.6
Telopea speciosissima,trnL,plant-candidate,on-list,3,0,FALSE,2.5
Alibertia patinoi,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Amaranthus cruentus,trnL,plant-candidate,on-list,2,0,FALSE,2.4
Amaranthus dubius,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Amaranthus thunbergii,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Baccaurea angulata,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Beloperone californica,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Brassica oleracea var. alboglabra,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Brassica oleracea var. botrytis,trnL,plant-candidate,on-list,1,0,FALSE,2.4
Campomanesia guaviroba,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Canarium schweinfurthii,trnL,plant-candidate,on-list,2,0,FALSE,2.9
Cordia africana,trnL,plant-candidate,on-list,2,0,FALSE,2.7
Costus erythrophyllus,trnL,plant-candidate,on-list,2,0,FALSE,3
Curcuma mangga,trnL,plant-candidate,on-list,2,0,FALSE,2.6
Dianthus barbatus,trnL,plant-candidate,on-list,2,0,FALSE,2.6
Garcinia madruno,trnL,plant-candidate,on-list,2,0,FALSE,2.7
Garcinia spicata,trnL,plant-candidate,on-list,2,0,FALSE,2.7
Hibiscus radiatus,trnL,plant-candidate,on-list,2,0,FALSE,2.4
Mangifera quadrifida,trnL,plant-candidate,on-list,2,0,FALSE,2.4
Nephelium maingayi,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Nephelium ramboutan-ake,trnL,plant-candidate,on-list,2,0,FALSE,2.6
Nopalea cochenillifera,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Opuntia leucotricha,trnL,plant-candidate,on-list,2,0,FALSE,2.6
Sechium tacaco,trnL,plant-candidate,on-list,2,0,FALSE,2.6
Triticum dicoccon,trnL,plant-candidate,on-list,1,0,FALSE,2.7
Triticum turgidum subsp. dicoccum,trnL,plant-candidate,on-list,1,0,FALSE,2.9
Victoria amazonica,trnL,plant-candidate,on-list,2,0,FALSE,2.7
Xylopia aethiopica,trnL,plant-candidate,on-list,2,0,FALSE,2.8
Zanthoxylum capense,trnL,plant-candidate,on-list,2,0,FALSE,2.5
Acronychia acidula,trnL,plant-candidate,on-list,1,0,FALSE,2.3
Agave tequilana,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Alpinia zerumbet,trnL,plant-candidate,on-list,1,0,FALSE,2.8
Apium prostratum,trnL,plant-candidate,on-list,1,0,FALSE,2.8
Aponogeton distachyos,trnL,plant-candidate,on-list,1,0,FALSE,3.1
Baccaurea dulcis,trnL,plant-candidate,on-list,1,0,FALSE,2.3
Baccaurea lanceolata,trnL,plant-candidate,on-list,1,0,FALSE,3
Begonia cucullata,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Brassica oleracea var. viridis,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Bromelia pinguin,trnL,plant-candidate,on-list,1,0,FALSE,2.8
Cichorium endivia,trnL,plant-candidate,on-list,1,0,FALSE,2.2
Cola nitida,trnL,plant-candidate,on-list,1,0,FALSE,2.4
Commelina diffusa,trnL,plant-candidate,on-list,1,0,FALSE,2.7
Costus productus,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Dovyalis caffra,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Durio dulcis,trnL,plant-candidate,on-list,1,0,FALSE,2.4
Durio graveolens,trnL,plant-candidate,on-list,1,0,FALSE,2.9
Durio kutejensis,trnL,plant-candidate,on-list,1,0,FALSE,2.9
Flindersia maculosa,trnL,plant-candidate,on-list,1,0,FALSE,2.4
Fuchsia x hybrida,trnL,plant-candidate,on-list,0,0,FALSE,1.2
Garcinia indica,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Garcinia intermedia,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Gladiolus grandiflorus,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Hua gaboni,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Ipomoea eriocarpa,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Irvingia gabonensis,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Malus turkmenorum,trnL,plant-candidate,on-list,0,0,FALSE,1.1
Manilkara jaimiqui,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Manilkara kauki,trnL,plant-candidate,on-list,1,0,FALSE,2.4
Microlaena stipoides,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Opuntia boldinghii,trnL,plant-candidate,on-list,1,0,FALSE,2.8
Opuntia robusta,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Opuntia stricta,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Pinus coulteri,trnL,plant-candidate,on-list,1,0,FALSE,2.7
Pyropia tenera,trnL,plant-candidate,on-list,0,0,FALSE,1.5
Ribes uva-crispa,trnL,plant-candidate,on-list,1,0,FALSE,2.4
Rubus allegheniensis,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Rubus hybrid cultivar,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Rubus laciniatus,trnL,plant-candidate,on-list,1,0,FALSE,2.8
Salicornia quinqueflora,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Solanum uporo,trnL,plant-candidate,on-list,1,0,FALSE,2.3
Sterculia parviflora,trnL,plant-candidate,on-list,1,0,FALSE,2.3
Triticum turgidum subsp. carthlicum,trnL,plant-candidate,on-list,0,0,FALSE,1.5
Vaccinium tenellum,trnL,plant-candidate,on-list,1,0,FALSE,2.5
Viola odorata,trnL,plant-candidate,on-list,1,0,FALSE,2.6
Hexagrammos octogrammus,12S,vertebrate-candidate,on-list,47,0,FALSE,2.7
Lutjanus johnii,12S,vertebrate-candidate,on-list,19,0,FALSE,3.4
Mullus barbatus,12S,vertebrate-candidate,on-list,17,0,FALSE,2.4
Myxine glutinosa,12S,vertebrate-candidate,on-list,15,0,FALSE,3.4
Merluccius paradoxus,12S,vertebrate-candidate,on-list,14,0,FALSE,2.5
Scardinius erythrophthalmus,12S,vertebrate-candidate,on-list,12,0,FALSE,2.4
Genypterus capensis,12S,vertebrate-candidate,on-list,13,0,FALSE,2.6
Acanthopagrus berda,12S,vertebrate-candidate,on-list,12,0,FALSE,2.3
Austroglossus microlepis,12S,vertebrate-candidate,on-list,11,0,FALSE,2.5
Carcharhinus porosus,12S,vertebrate-candidate,on-list,11,0,FALSE,2.7
Brama brama,12S,vertebrate-candidate,on-list,10,0,FALSE,2.5
Mycteroperca jordani,12S,vertebrate-candidate,on-list,9,0,FALSE,2.9
Austroglossus pectoralis,12S,vertebrate-candidate,on-list,8,0,FALSE,2.5
Oligoplites saurus,12S,vertebrate-candidate,on-list,8,0,FALSE,2.9
Seriolella brama,12S,vertebrate-candidate,on-list,8,0,FALSE,2.6
Arripis georgianus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Parachanna obscura,12S,vertebrate-candidate,on-list,7,0,FALSE,2.5
Symphorus nematophorus,12S,vertebrate-candidate,on-list,1,0,FALSE,3.4
Upeneus parvus,12S,vertebrate-candidate,on-list,7,0,FALSE,2.4
Zeus capensis,12S,vertebrate-candidate,on-list,7,0,FALSE,2.7
Microchirus variegatus,12S,vertebrate-candidate,on-list,4,0,FALSE,2.8
Micropterus treculii,12S,vertebrate-candidate,on-list,6,0,FALSE,2.4
Mobula thurstoni,12S,vertebrate-candidate,on-list,6,0,FALSE,3
Parupeneus cyclostomus,12S,vertebrate-candidate,on-list,6,0,FALSE,2.5
Pterogymnus laniarius,12S,vertebrate-candidate,on-list,6,0,FALSE,3.1
Centrolophus niger,12S,vertebrate-candidate,on-list,6,0,FALSE,2.6
Centropomus mexicanus,12S,vertebrate-candidate,on-list,6,0,FALSE,2.6
Epigonus telescopus,12S,vertebrate-candidate,on-list,6,0,FALSE,2.7
Alosa alosa,12S,vertebrate-candidate,on-list,4,0,FALSE,2.8
Centroberyx affinis,12S,vertebrate-candidate,on-list,4,0,FALSE,3.3
Centroberyx gerrardi,12S,vertebrate-candidate,on-list,3,0,FALSE,2.7
Cyclopsetta chittendeni,12S,vertebrate-candidate,on-list,5,0,FALSE,2.6
Allosmerus elongatus,12S,vertebrate-candidate,on-list,4,0,FALSE,2.5
Glyptocephalus cynoglossus,12S,vertebrate-candidate,on-list,4,0,FALSE,2.5
Plectorhinchus lineatus,12S,vertebrate-candidate,on-list,4,0,FALSE,2.4
Psettodes belcheri,12S,vertebrate-candidate,on-list,4,0,FALSE,3.3
Scomberomorus sierra,12S,vertebrate-candidate,on-list,4,0,FALSE,2.6
Sebastes nigrocinctus,12S,vertebrate-candidate,on-list,4,0,FALSE,2.4
Sphyrna tudes,12S,vertebrate-candidate,on-list,4,0,FALSE,2.4
Spirinchus starksi,12S,vertebrate-candidate,on-list,4,0,FALSE,2.7
Stenotomus caprinus,12S,vertebrate-candidate,on-list,4,0,FALSE,2.3
Tilapia rendalli,12S,vertebrate-candidate,on-list,4,0,FALSE,2.6
Aetobatus narinari,12S,vertebrate-candidate,on-list,3,0,FALSE,2.5
Ammodytes americanus,12S,vertebrate-candidate,on-list,3,0,FALSE,2.9
Anisotremus interruptus,12S,vertebrate-candidate,on-list,3,0,FALSE,2.4
Apocryptes bato,12S,vertebrate-candidate,on-list,3,0,FALSE,2.3
Carcharhinus isodon,12S,vertebrate-candidate,on-list,3,0,FALSE,2.5
Cleisthenes pinetorum,12S,vertebrate-candidate,on-list,3,0,FALSE,3.4
