scientific_name,marker,ncbi_hits,common_name,source
Terminalia cunninghamii,trnL,0,pindan walnut,"Newton, ""The Oldest Foods on Earth"""
Terminalia ferdinandiana,trnL,0,kakadu plum,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Terminalia kaernbachii,trnL,0,okari nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Theobroma bicolor,trnL,0,mocambo,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Theobroma microcarpum,trnL,0,cacao de monte,Milla 2020 Crop Origins
Trichosanthes japonica,trnL,0,kikarasu uri,Milla 2020 Crop Origins
Triticum aestivum subsp. compactum,trnL,0,club wheat,GRIN Taxonomy for Plants
Triticum aestivum subsp. sphaerococcum,trnL,0,indian dwarf wheat,GRIN Taxonomy for Plants
Triticum sphaerococcum,trnL,0,shot wheat,Milla 2020 Crop Origins
Triticum turanicum,trnL,0,Khorasan wheat,JL
Triticum turgidum subsp. paleocolchicum,trnL,0,emmer wheat,GRIN Taxonomy for Plants
Triticum turgidum subsp. polonicum,trnL,0,polish wheat,GRIN Taxonomy for Plants
Triticum turgidum subsp. turanicum,trnL,0,khorasan wheat,GRIN Taxonomy for Plants
Triticum vavilovii,trnL,0,spelt,GRIN Taxonomy for Plants
Tropaeolum leptophyllum,trnL,0,tropaeolum genus,Milla 2020 Crop Origins
Tropaeolum tuberosum,trnL,0,mashua,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Tulip gesneriana,trnL,0,garden tulip,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Ullucus tuberosus,trnL,0,ullucus,BP
Vaccinium ashei,trnL,0,rabbiteye blueberry,"van Wyk, ""Food Plants of the World"""
Vanilla tahitensis,trnL,0,tahitian vanilla,Milla 2020 Crop Origins
Vicia articulata,trnL,0,black lentil,Milla 2020 Crop Origins
Vicia graminea,trnL,0,vicia chica,Milla 2020 Crop Origins
Vigna lanceolata,trnL,0,native bean,"Newton, ""The Oldest Foods on Earth"""
Viola hederacea,trnL,0,australian violet,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Viola x wittrockiana,trnL,0,garden pansy,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Willughbeia angustifolia,trnL,0,gerit-gerit,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Wolffia arrhiza,trnL,0,least duckweed,Milla 2020 Crop Origins
Xanthophyllum amoenum,trnL,0,langgir,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Xanthosoma belophyllum,trnL,0,chou blanc,Milla 2020 Crop Origins
Xanthosoma brasiliense,trnL,0,calalou,Milla 2020 Crop Origins
Xanthosoma caracu,trnL,0,yautia horqueta,Milla 2020 Crop Origins
Xanthosoma poeppigii,trnL,0,amankani,Milla 2020 Crop Origins
Xanthosoma undipes,trnL,0,choux caraibe,Milla 2020 Crop Origins
