scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Esox americanus americanus,pickerel,"FDA The Seafood List, 2023/07/21",10,10,TRUE
Leiognathus equulus,slipmouth,"FDA The Seafood List, 2023/07/21",10,10,TRUE
Mycteroperca jordani,grouper,"FDA The Seafood List, 2023/07/21",9,9,TRUE
Zenopsis conchifera,dory,"FDA The Seafood List, 2023/07/21",9,9,TRUE
Austroglossus pectoralis,sole,"FDA The Seafood List, 2023/07/21",8,8,TRUE
Oligoplites saurus,jack,"FDA The Seafood List, 2023/07/21",8,8,TRUE
Pennahia anea,croaker,"FDA The Seafood List, 2023/07/21",8,8,TRUE
Pristipomoides typus,jobfish,"FDA The Seafood List, 2023/07/21",8,8,TRUE
Seriolella brama,warehou,"FDA The Seafood List, 2023/07/21",8,8,TRUE
Zenopsis nebulosa,mirror dory,SJ,8,8,TRUE
Arripis georgianus,kahawai,"FDA The Seafood List, 2023/07/21",7,7,TRUE
Osmerus dentex,smelt,"FDA The Seafood List, 2023/07/21",7,7,TRUE
Osmerus mordax dentex,smelt,"FDA The Seafood List, 2023/07/21",7,7,TRUE
Parachanna obscura,channa,"FDA The Seafood List, 2023/07/21",7,7,TRUE
Symphorus nematophorus,snapper,"FDA The Seafood List, 2023/07/21",7,7,TRUE
Upeneus parvus,goatfish,"FDA The Seafood List, 2023/07/21",7,7,TRUE
Zeus capensis,cape dory,SJ,7,7,TRUE
Epinephelus niveatus,grouper,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Esox americanus vermiculatus,pickerel,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Microchirus variegatus,sole,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Micropterus treculii,bass,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Mobula thurstoni,manta,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Paracaesio xanthura,snapper,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Parupeneus cyclostomus,goatfish,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Pseudopentaceros wheeleri,armorhead,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Pterogymnus laniarius,porgy,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Barbonymus schwanenfeldii,tinfoil barb,BP,6,6,TRUE
Centrolophus niger,black ruff,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Centropomus mexicanus,snook,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Crenimugil crenilabis,mullet,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Dentex tumifrons,sea bream,"FDA The Seafood List, 2023/07/21",6,6,TRUE
