Feature ID	Taxon
JQ900584.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
JQ900590.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
JQ900592.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
JQ900598.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
JQ900601.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
KC139048.2	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
NC_044709.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium tuberosum;NA;NA;NA
KP055483.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Allospondias;Allospondias lakonensis;NA;NA;NA
KY067404.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Allospondias;Allospondias lakonensis;NA;NA;NA
AY248983.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Alocasia;Alocasia cucullata;NA;NA;NA
JQ237218.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Alocasia;Alocasia cucullata;NA;NA;NA
NC_060696.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Alocasia;Alocasia cucullata;NA;NA;NA
JQ238671.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Alocasia;Alocasia macrorrhizos;NA;NA;NA
MN844023.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Alocasia;Alocasia macrorrhizos;NA;NA;NA
NC_035506.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Asphodelaceae;Aloe;Aloe vera;NA;NA;NA
PP081791.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Asphodelaceae;Aloe;Aloe vera;NA;NA;NA
AY424775.1	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Alpinia;Alpinia galanga;NA;NA;NA
ON615019.1	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Alpinia;Alpinia galanga;NA;NA;NA
NC_067035.1	Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Apocynaceae;Amalocalyx;Amalocalyx microlobus;NA;NA;NA
NC_040143.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus caudatus;NA;NA;NA
MK261433.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus graecizans;NA;NA;NA
KP318866.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus hybridus;NA;NA;NA
NC_053787.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus hybridus;NA;NA;NA
NC_030770.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus hypochondriacus;NA;NA;NA
KP318869.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus retroflexus;NA;NA;NA
NC_065013.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;Amaranthus tricolor;NA;NA;NA
NC_045314.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Amelanchier;Amelanchier alnifolia;NA;NA;NA
KY799087.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Amelanchier;Amelanchier canadensis;NA;NA;NA
AF387433.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;Amorphophallus abyssinicus;NA;NA;NA
KR534396.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;Amorphophallus harmandii;NA;NA;NA
AF387452.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;Amorphophallus konjac;NA;NA;NA
NC_046702.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;Amorphophallus konjac;NA;NA;NA
NC_086625.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;Amorphophallus paeoniifolius;NA;NA;NA
AY054703.1	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;Amorphophallus paeoniifolius;NA;Amorphophallus paeoniifolius var. campanulatus;NA
EF543424.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Amphicarpaea;Amphicarpaea bracteata;NA;NA;NA
MG584466.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Anacardium;Anacardium occidentale;NA;NA;NA
NC_035235.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Anacardium;Anacardium occidentale;NA;NA;NA
NC_026220.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;NA;NA
EU780856.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;Ananas comosus var. bracteatus;NA
JX649491.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;Ananas comosus var. bracteatus;NA
DQ084695.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;Ananas comosus var. microstachys;NA
HQ882712.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;Ananas comosus var. microstachys;NA
JX649490.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;Ananas comosus var. microstachys;NA
KU095983.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus;NA;Ananas comosus var. parguazensis;NA
NC_022451.2	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Acanthaceae;Andrographis;Andrographis paniculata;NA;NA;NA
NC_029469.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anethum;Anethum foeniculum;NA;NA;NA
NC_029470.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anethum;Anethum graveolens;NA;NA;NA
GQ244568.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Angelica;Angelica archangelica;NA;NA;NA
NC_030166.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona cherimola;NA;NA;NA
AY841673.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona glabra;NA;NA;NA
KX663979.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona macroprophyllata;NA;NA;NA
NC_066643.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona montana;NA;NA;NA
EU420852.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona mucosa;NA;NA;NA
AY145352.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona muricata;NA;NA;NA
AY743459.2	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona muricata;NA;NA;NA
NC_052008.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona muricata;NA;NA;NA
KX663990.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona purpurea;NA;NA;NA
NC_052009.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona reticulata;NA;NA;NA
AY841674.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;NA;NA;NA
KX663999.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;NA;NA;NA
NC_070223.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona squamosa;NA;NA;NA
NC_041274.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Basellaceae;Anredera;Anredera cordifolia;NA;NA;NA
KX668086.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Anthemis;Anthemis arvensis;NA;NA;NA
NC_015113.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;Anthriscus cerefolium;NA;NA;NA
NC_068855.1	Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;Antidesma bunius;NA;NA;NA
MG913344.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Antigonon;Antigonon leptopus;NA;NA;NA
AF034887.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Antirrhinum;Antirrhinum majus;NA;NA;NA
AJ492270.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Antirrhinum;Antirrhinum majus;NA;NA;NA
AY591322.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Antirrhinum;Antirrhinum majus;NA;NA;NA
NC_025909.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Apios;Apios americana;NA;NA;NA
NC_041087.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Apium;Apium graveolens;NA;NA;NA
AF300304.1	Eukaryota;Streptophyta;Magnoliopsida;Vitales;Vitaceae;Apocissus;Apocissus hypoglauca;NA;NA;NA
PP055507.1	Eukaryota;Streptophyta;Magnoliopsida;Vitales;Vitaceae;Apocissus;Apocissus hypoglauca;NA;NA;NA
PQ143527.1	Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Aquilegia;Aquilegia coerulea;NA;NA;NA
NC_037358.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Arachis;Arachis hypogaea;NA;NA;NA
NC_040964.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Araliaceae;Aralia;Aralia cordata;NA;NA;NA
KU195186.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Arbutus;Arbutus unedo;NA;NA;NA
KU195189.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Arbutus;Arbutus unedo;NA;NA;NA
NC_042724.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Arctium;Arctium lappa;NA;NA;NA
NC_059021.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;Ardisia crenata;NA;NA;NA
MF926169.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;Ardisia crenata;NA;Ardisia crenata var. bicolor;NA
JQ684844.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;Ardisia elliptica;NA;NA;NA
NC_050163.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Areca;Areca catechu;NA;NA;NA
AJ241308.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Areca;Areca triandra;NA;NA;NA
NC_067832.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Areca;Areca triandra;NA;NA;NA
