scientific_name,marker,ncbi_hits
"Sciades herzbergii",12S,2
"Sciades parkeri",12S,1
"Scleropages legendrei",12S,0
"Scomberomorus lineolatus",12S,0
"Scomberomorus regalis",12S,2
"Scomberomorus sierra",12S,4
"Scophthalmus rhombus",12S,3
"Scorpaena cardinalis",12S,0
"Scorpaena dispar",12S,0
"Scorpaena guttata",12S,0
"Scorpaena papillosa",12S,0
"Scylla",12S,56
"Scylla olivacea",12S,7
"Scylla paramamosain",12S,21
"Scylla serrata",12S,17
"Scylla tranquebarica",12S,10
"Scyllarides aequinoctialis",12S,0
"Scyllarides brasiliensis",12S,1
"Scyllarides squammosus",12S,2
"Sebastes atrovirens",12S,1
"Sebastes borealis",12S,2
"Sebastes capensis",12S,1
"Sebastes carnatus",12S,2
"Sebastes chlorostictus",12S,1
"Sebastes chrysomelas",12S,1
"Sebastes ensifer",12S,1
"Sebastes gilli",12S,1
"Sebastes lentiginosus",12S,1
"Sebastes levis",12S,1
"Sebastes melanosema",12S,1
"Sebastes nigrocinctus",12S,4
